Customer ID ,order_id,order_date,Rev (USD),region,status,notes,age,month,product,sales_rep,country
CUST1000,ORD05000,2025-05-21,2613.41, north,active,follow up,28,May,Basic,Alice,USA
CUST1001,ORD05001,2025-11-05,20159.85,West,active,follow up,63,Nov,Pro,Alice,USA
CUST1002,ORD05002,2025-03-21,29251.17, north,churned,-,43,Mar,Pro,Alice,Canada
CUST1003,ORD05003,2025-07-13,82728.28,East,active,follow up,62,Jul,Enterprise,Alice,USA
CUST1004,ORD05004,2025-04-30,83751.22,East,churned,follow up,51,Apr,Starter,Carol,USA
CUST1005,ORD05005,2025-05-06,14961.22,South,trial,follow up,39,May,Enterprise,Bob,USA
CUST1006,ORD05006,2025-02-03,34398.42,East,inactive,follow up,58,Feb,Basic,David,USA
CUST1007,ORD05007,10-15-2025,21340.02,West,trial,,59,Oct,Basic,Alice,USA
CUST1008,ORD05008,03-23-2025,13415.09, west,active,,26,Mar,Enterprise,Alice,UK
CUST1009,ORD05009,2025-06-24,65446.59,NORTH,active,None,32,Jun,Pro,Eve,UK
CUST1010,ORD05010,03-24-2025,32095.72,East,active,follow up,55,Mar,Pro,Carol,USA
CUST1011,ORD05011,2025-02-10,"75364,",NORTH,inactive,follow up,26,Feb,Starter,Carol,UK
CUST1012,ORD05012,04-19-2025,36255.16,West,active,follow up,34,Apr,Pro,David,UK
CUST1013,ORD05012,02/02/2025,21448.02,South,active,,,Feb,Enterprise,Bob,USA
CUST1014,ORD05014,02-06-2025,73139.19,NORTH,active,,64,Feb,Basic,Bob,Canada
CUST1015,ORD05015,02-19-2025,16589.64, north,active,N/A,49,Feb,Pro,Alice,USA
CUST1016,ORD05016,13/03/2025,45816.15, west,trial,N/A,51,Mar,Enterprise,Alice,UK
CUST1017,ORD05017,2025-05-02,82380.18,North,active,-,52,May,Basic,Carol,Canada
CUST1018,ORD05018,10-12-2025,59361.98,North,active,na,31,Oct,Enterprise,Carol,USA
CUST1019,ORD05019,09-15-2025,"63493,", north,active,na,54,Sep,Starter,David,USA
CUST1020,ORD05020,10-24-2025,48637.57,East,trial,,,Oct,Pro,Bob,USA
CUST1021,ORD05021,03/06/2025,57257.82, north,trial,,26,Jun,Pro,Bob,USA
CUST1022,ORD05022,09/07/2025,74798.34,North,active,follow up,56,Jul,Pro,Alice,USA
CUST1023,ORD05023,2025-10-11,75680.72,South,trial,None,60,Oct,Pro,Eve,Canada
CUST1024,ORD05024,2025-01-27,77239.44,NORTH,churned,None,39,Jan,Starter,David,UK
CUST1025,ORD05025,2025-02-27,47896.63,NORTH,active,None,31,Feb,Pro,Carol,USA
CUST1026,ORD05026,05-08-2025,18251.47,West,active,follow up,,May,Starter,Bob,USA
CUST1027,ORD05027,2025-07-31,69010.21,West,trial,follow up,43,Jul,Starter,Carol,USA
CUST1028,ORD05027,20/01/2025,9634.08,South,trial,na,51,Jan,Basic,Carol,USA
CUST1029,ORD05029,23/05/2025,82202.13,East,active,follow up,47,May,Pro,Bob,UK
CUST1030,ORD05030,02-25-2025,22931.91, north,active,,42,Feb,Starter,Carol,USA
CUST1031,ORD05031,10-03-2025,642.91, north,churned,-,64,Oct,Pro,Alice,USA
CUST1032,ORD05032,17/06/2025,56852.45,West,trial,-,57,Jun,Pro,David,UK
CUST1033,ORD05033,18/04/2025,26177.43, west,active,follow up,60,Apr,Starter,Eve,Canada
CUST1034,ORD05034,03-28-2025,81605.8,East,trial,,,Mar,Starter,Carol,USA
CUST1035,ORD05035,2025-01-24,12951.41, north,active,follow up,61,Jan,Starter,David,Canada
CUST1036,ORD05036,2025-12-19,12969.78,South,active,follow up,28,Dec,Basic,Alice,UK
CUST1037,ORD05037,2025-08-22,72184.42,East,inactive,,64,Aug,Basic,Eve,Canada
CUST1038,ORD05038,01/09/2025,63338.88,south ,active,follow up,37,Sep,Basic,Bob,USA
CUST1039,ORD05039,01/05/2025,60794.54,South,trial,na,56,May,Starter,Alice,Canada
CUST1040,ORD05040,2025-08-01,46350.64,North,trial,,48,Aug,Basic,David,USA
CUST1041,ORD05041,19/07/2025,25732.77,South,churned,follow up,56,Jul,Basic,David,USA
CUST1042,ORD05042,07-27-2025,57019.82,North,active,follow up,51,Jul,Enterprise,Alice,Canada
CUST1043,ORD05043,26/01/2025,39513.52,West,trial,None,35,Jan,Basic,Carol,USA
CUST1044,ORD05044,27/01/2025,63792.55,North,trial,follow up,26,Jan,Starter,Alice,UK
CUST1045,ORD05045,2025-12-09,11165.67,East,active,None,35,Dec,Enterprise,Bob,USA
CUST1046,ORD05046,06-09-2025,2669.83, north,trial,na,46,Jun,Starter,Alice,USA
CUST1047,ORD05047,03-03-2025,51234.78, north,churned,None,44,Mar,Enterprise,David,Canada
CUST1048,ORD05048,22/11/2025,81686.55,south ,active,,49,Nov,Basic,David,Canada
CUST1049,ORD05049,2025-06-15,50564.11,South,active,-,27,Jun,Basic,Carol,USA
CUST1050,ORD05050,2025-09-07,27963.7,south ,active,,38,Sep,Starter,Alice,USA
CUST1051,ORD05051,05-04-2025,41784.83, north,inactive,N/A,53,May,Starter,Carol,UK
CUST1052,ORD05052,26/06/2025,47268.46,south ,trial,-,57,Jun,Enterprise,Bob,USA
CUST1053,ORD05053,2025-12-20,45780.51,south ,trial,,52,Dec,Starter,Carol,USA
CUST1054,ORD05054,12-29-2025,26041.61,south ,trial,follow up,24,Dec,Basic,Alice,USA
CUST1055,ORD05055,14/08/2025,40164.04, north,inactive,-,25,Aug,Basic,Alice,UK
CUST1056,ORD05056,03-18-2025,5029.97, north,inactive,follow up,27,Mar,Starter,Eve,Canada
CUST1057,ORD05057,29/10/2025,37909.92,South,churned,N/A,61,Oct,Enterprise,Bob,USA
CUST1058,ORD05058,02/01/2025,6842.98,South,churned,N/A,60,Jan,Basic,Alice,USA
CUST1059,ORD05059,11-17-2025,67071.47,South,churned,,34,Nov,Starter,Alice,USA
CUST1060,ORD05060,19/10/2025,26493.2,West,active,follow up,51,Oct,Basic,David,USA
CUST1061,ORD05061,06-15-2025,75656.23,North,active,,27,Jun,Pro,Eve,USA
CUST1062,ORD05062,09-23-2025,15303.62,West,inactive,,39,Sep,Enterprise,David,USA
CUST1063,ORD05063,2025-02-23,27629.42,North,churned,-,53,Feb,Pro,Carol,USA
CUST1064,ORD05064,2025-09-21,34652.79,South,active,N/A,56,Sep,Basic,David,USA
CUST1065,ORD05065,28/05/2025,46909.06,South,churned,,53,May,Enterprise,Eve,Canada
CUST1066,ORD05066,28/02/2025,84345.73, west,churned,follow up,63,Feb,Pro,David,Canada
CUST1067,ORD05067,2025-10-10,21095.26, north,trial,na,60,Oct,Basic,Carol,UK
CUST1068,ORD05068,06-02-2025,716.76, west,churned,na,64,Jun,Pro,Eve,UK
CUST1069,ORD05069,04-07-2025,79326.02,North,inactive,-,46,Apr,Basic,David,USA
CUST1070,ORD05070,09-15-2025,3628.16, west,inactive,follow up,28,Sep,Enterprise,Bob,Canada
CUST1071,ORD05071,08/02/2025,82461.35, north,trial,-,38,Feb,Basic,Carol,Canada
CUST1072,ORD05072,2025-02-05,3533.47, north,active,follow up,40,Feb,Enterprise,David,USA
CUST1073,ORD05073,24/01/2025,76839.33,NORTH,inactive,-,40,Jan,Starter,Bob,USA
CUST1074,ORD05074,11-14-2025,"51140,",south ,active,-,59,Nov,Enterprise,David,USA
CUST1075,ORD05075,15/08/2025,13848.94,West,inactive,follow up,41,Aug,Pro,Bob,Canada
CUST1076,ORD05075,07-15-2025,9512.2,south ,trial,follow up,40,Jul,Basic,Carol,USA
CUST1077,ORD05077,01-26-2025,58450.06,South,churned,follow up,40,Jan,Starter,Bob,UK
CUST1078,ORD05078,12-04-2025,64346.28,south ,active,N/A,62,Dec,Pro,Bob,USA
CUST1079,ORD05079,2025-08-01,28107.77,East,churned,follow up,56,Aug,Starter,Carol,Canada
CUST1080,ORD05080,2025-06-23,25439.45,West,trial,na,26,Jun,Pro,Alice,Canada
CUST1081,ORD05081,21/08/2025,TBD,East,trial,-,65,Aug,Basic,Alice,UK
CUST1082,ORD05082,2025-11-09,47938.92,south ,active,follow up,62,Nov,Starter,Alice,USA
CUST1083,ORD05083,2025-02-19,42126.78,West,active,None,30,Feb,Starter,David,USA
CUST1084,ORD05084,2025-05-24,52522.61,East,active,na,35,May,Pro,Eve,USA
CUST1085,ORD05085,2025-04-08,"37160,",North,churned,na,51,Apr,Starter,Bob,UK
CUST1086,ORD05086,2025-10-11,70619.61,North,trial,na,36,Oct,Starter,Eve,USA
CUST1087,ORD05087,2025-01-14,9788.78,South,active,follow up,,Jan,Starter,Carol,USA
CUST1088,ORD05088,02-28-2025,36071.17, north,trial,None,,Feb,Enterprise,Eve,USA
CUST1089,ORD05089,01/02/2025,81960.21, west,inactive,follow up,49,Feb,Enterprise,Alice,USA
CUST1090,ORD05090,05-21-2025,6050.15,West,active,follow up,57,May,Pro,David,UK
CUST1091,ORD05091,2025-12-26,8880.58,South,trial,follow up,63,Dec,Basic,Carol,Canada
CUST1092,ORD05092,10/06/2025,62152.26, west,trial,na,38,Jun,Enterprise,Alice,Canada
CUST1093,ORD05093,03-08-2025,62928.26,East,inactive,follow up,,Mar,Pro,David,USA
CUST1094,ORD05094,2025-06-30,51234.65,South,churned,-,35,Jun,Pro,Alice,USA
CUST1095,ORD05094,10-15-2025,68710.21,south ,churned,,63,Oct,Pro,Carol,USA
CUST1096,ORD05096,10-17-2025,TBD,North,active,follow up,31,Oct,Starter,David,Canada
CUST1097,ORD05097,06-09-2025,13801.08,NORTH,active,N/A,58,Jun,Enterprise,Alice,USA
CUST1098,ORD05098,07/11/2025,36329.25, north,active,follow up,35,Nov,Pro,Eve,Canada
CUST1099,ORD05099,23/04/2025,26561.44,South,trial,None,25,Apr,Pro,Carol,USA
CUST1100,ORD05100,2025-08-09,42529.06,East,trial,follow up,56,Aug,Enterprise,David,USA
CUST1101,ORD05101,06-10-2025,7079.39,West,inactive,follow up,47,Jun,Enterprise,Carol,USA
CUST1102,ORD05102,20/12/2025,52731.58,South,inactive,follow up,,Dec,Enterprise,David,USA
CUST1103,ORD05103,2025-03-28,19222.84,East,trial,na,29,Mar,Starter,Bob,USA
CUST1104,ORD05104,2025-11-05,17169.47, west,trial,-,63,Nov,Basic,Eve,UK
CUST1105,ORD05105,2025-06-11,82547.22,south ,churned,None,52,Jun,Enterprise,Carol,Canada
CUST1106,ORD05106,2025-05-27,5307.21,West,active,follow up,27,May,Enterprise,David,UK
CUST1107,ORD05107,09-01-2025,27669.01, north,trial,None,25,Sep,Enterprise,Bob,Canada
CUST1108,ORD05108,2025-11-09,44783.79,North,active,None,40,Nov,Pro,Alice,USA
CUST1109,ORD05109,26/05/2025,57823.05,NORTH,active,follow up,64,May,Starter,Carol,USA
CUST1110,ORD05110,2025-07-20,59521.56,East,active,-,27,Jul,Enterprise,David,UK
CUST1111,ORD05111,2025-04-03,31139.5,NORTH,trial,na,53,Apr,Enterprise,Eve,UK
CUST1112,ORD05112,01-20-2025,75171.14,NORTH,trial,-,61,Jan,Starter,David,USA
CUST1113,ORD05113,02/05/2025,57652.67,south ,trial,na,50,May,Basic,Bob,USA
CUST1114,ORD05114,14/08/2025,48700.44,NORTH,trial,-,46,Aug,Starter,Carol,USA
CUST1115,ORD05115,2025-10-11,74362.88,south ,trial,follow up,55,Oct,Pro,David,UK
CUST1116,ORD05116,24/04/2025,37466.43,East,active,-,23,Apr,Pro,Bob,USA
CUST1117,ORD05117,29/11/2025,8872.52,NORTH,inactive,-,30,Nov,Basic,Eve,USA
CUST1118,ORD05118,2025-04-21,2105.83,south ,active,N/A,60,Apr,Enterprise,Bob,Canada
CUST1119,ORD05119,2025-02-02,53127.49,South,churned,N/A,53,Feb,Basic,Alice,UK
CUST1120,ORD05120,04-06-2025,48721.08, north,active,follow up,55,Apr,Enterprise,David,Canada
CUST1121,ORD05121,11/07/2025,"51709,",East,active,follow up,44,Jul,Enterprise,Eve,USA
CUST1122,ORD05122,06-23-2025,30269.27,NORTH,active,-,65,Jun,Basic,Alice,USA
CUST1123,ORD05123,22/01/2025,67348.73, west,trial,,54,Jan,Starter,Carol,USA
CUST1124,ORD05124,02/12/2025,4539.44, west,inactive,-,45,Dec,Pro,Bob,Canada
CUST1125,ORD05125,23/09/2025,31540.82,NORTH,churned,,49,Sep,Enterprise,Alice,USA
CUST1126,ORD05126,11-05-2025,26398.9,East,inactive,N/A,50,Nov,Pro,Alice,USA
CUST1127,ORD05127,09-20-2025,34824.76, west,active,,23,Sep,Starter,Carol,USA
CUST1128,ORD05128,2025-11-06,48432.17,NORTH,inactive,N/A,45,Nov,Pro,Carol,USA
CUST1129,ORD05129,06/04/2025,2689.68, west,active,None,57,Apr,Pro,David,USA
CUST1130,ORD05130,2025-08-20,72563.82,East,active,follow up,50,Aug,Enterprise,Eve,UK
CUST1131,ORD05131,03-22-2025,25846.34,South,trial,None,62,Mar,Starter,Bob,Canada
CUST1132,ORD05132,08/07/2025,TBD, north,active,N/A,57,Jul,Basic,Eve,Canada
CUST1133,ORD05133,2025-02-07,70072.18,East,trial,-,63,Feb,Starter,Bob,Canada
CUST1134,ORD05134,03-05-2025,73863.88,East,active,na,32,Mar,Pro,Alice,USA
CUST1135,ORD05135,2025-05-21,81311.71,NORTH,active,,61,May,Starter,Bob,UK
CUST1136,ORD05136,2025-10-16,51634.24,south ,trial,,23,Oct,Basic,Eve,USA
CUST1137,ORD05137,05-29-2025,53495.36,south ,active,-,52,May,Enterprise,Bob,Canada
CUST1138,ORD05138,06-24-2025,39745.36,East,trial,follow up,42,Jun,Pro,Eve,UK
CUST1139,ORD05139,04/03/2025,20926.85,West,inactive,None,31,Mar,Starter,Bob,USA
CUST1140,ORD05139,2025-04-08,61435.35, west,inactive,None,54,Apr,Basic,Bob,USA
CUST1141,ORD05141,25/05/2025,4611.61,south ,trial,follow up,63,May,Enterprise,David,USA
CUST1142,ORD05142,26/07/2025,61974.43,South,churned,,,Jul,Enterprise,David,UK
CUST1143,ORD05143,11-16-2025,46962.92,West,churned,follow up,30,Nov,Pro,Bob,USA
CUST1144,ORD05144,2025-01-21,34417.21, west,trial,follow up,,Jan,Starter,Carol,UK
CUST1145,ORD05145,11-12-2025,33704.66, west,churned,,59,Nov,Basic,Alice,USA
CUST1146,ORD05146,08-02-2025,9761.59,south ,trial,-,62,Aug,Starter,Alice,UK
CUST1147,ORD05147,14/11/2025,44797.63, north,inactive,,65,Nov,Pro,David,USA
CUST1148,ORD05148,09-14-2025,17728.85,South,active,follow up,25,Sep,Basic,Eve,Canada
CUST1149,ORD05149,30/09/2025,15133.91,south ,trial,follow up,65,Sep,Starter,Carol,UK
CUST1150,ORD05150,02/06/2025,80055.53,south ,active,None,53,Jun,Basic,David,USA
CUST1151,ORD05151,2025-05-29,68490.04,south ,trial,-,27,May,Starter,Eve,USA
CUST1152,ORD05152,2025-03-12,59326.47,South,active,N/A,59,Mar,Enterprise,David,USA
CUST1153,ORD05153,2025-03-12,8996.04, west,trial,-,32,Mar,Pro,Carol,USA
CUST1154,ORD05154,02-15-2025,77220.67,North,trial,follow up,56,Feb,Basic,Bob,USA
CUST1155,ORD05155,2025-09-11,34046.04,North,active,follow up,40,Sep,Enterprise,Carol,USA
CUST1156,ORD05156,26/09/2025,54690.9, west,trial,follow up,30,Sep,Enterprise,Carol,USA
CUST1157,ORD05157,2025-04-06,55280.11,NORTH,active,na,40,Apr,Basic,David,UK
CUST1158,ORD05158,2025-02-18,34370.41,North,trial,na,52,Feb,Basic,Carol,USA
CUST1159,ORD05159,06/01/2025,61583.57, west,inactive,N/A,37,Jan,Pro,Alice,USA
CUST1160,ORD05160,10/03/2025,19161.76, west,trial,,60,Mar,Starter,Bob,UK
CUST1161,ORD05161,08-17-2025,7418.04, north,active,follow up,26,Aug,Starter,Eve,UK
CUST1162,ORD05162,24/09/2025,28225.94, west,active,,,Sep,Basic,Alice,Canada
CUST1163,ORD05163,2025-10-16,35603.38,North,trial,follow up,65,Oct,Enterprise,Bob,UK
CUST1164,ORD05164,06-26-2025,"56534,", north,inactive,follow up,,Jun,Enterprise,Carol,Canada
CUST1165,ORD05165,11-25-2025,11943.74, west,inactive,-,48,Nov,Basic,Alice,UK
CUST1166,ORD05166,2025-03-02,73194.22,North,churned,na,47,Mar,Basic,Eve,Canada
CUST1167,ORD05167,07/05/2025,70073.96,North,inactive,N/A,39,May,Enterprise,Bob,USA
CUST1168,ORD05168,18/01/2025,"78849,",West,active,N/A,25,Jan,Starter,Alice,USA
CUST1169,ORD05169,22/10/2025,24942.76,South,trial,follow up,65,Oct,Starter,David,USA
CUST1170,ORD05170,10-30-2025,47542.68, west,churned,follow up,62,Oct,Basic,Eve,USA
CUST1171,ORD05171,03/06/2025,34997.9,south ,trial,na,56,Jun,Basic,Alice,UK
CUST1172,ORD05172,2025-09-29,35694.91, west,active,N/A,38,Sep,Starter,Alice,USA
CUST1173,ORD05173,2025-01-21,51619.92,South,trial,follow up,59,Jan,Pro,Carol,USA
CUST1174,ORD05174,03-02-2025,16557.0,South,trial,follow up,52,Mar,Pro,Carol,Canada
CUST1175,ORD05175,07/06/2025,55316.95,East,churned,-,53,Jun,Pro,David,USA
CUST1176,ORD05176,2025-03-16,19197.66,south ,churned,-,59,Mar,Starter,David,UK
CUST1177,ORD05177,12-02-2025,42690.98, west,active,follow up,53,Dec,Pro,Bob,USA
CUST1178,ORD05178,10-05-2025,41762.73,North,inactive,N/A,55,Oct,Starter,Bob,USA
CUST1179,ORD05179,16/09/2025,1272.45, west,active,follow up,61,Sep,Enterprise,Eve,UK
CUST1180,ORD05180,05-21-2025,1913.36,NORTH,active,-,23,May,Starter,Bob,USA
CUST1181,ORD05181,01/07/2025,21829.34, west,active,-,27,Jul,Starter,Carol,USA
CUST1182,ORD05182,2025-01-17,73019.52,North,active,N/A,46,Jan,Basic,David,USA
CUST1183,ORD05183,02-18-2025,72997.65, west,active,,36,Feb,Pro,Eve,UK
CUST1184,ORD05184,2025-06-11,15655.46, north,active,-,59,Jun,Starter,Eve,Canada
CUST1185,ORD05185,07-16-2025,46177.53,North,trial,None,27,Jul,Enterprise,Carol,UK
CUST1186,ORD05186,23/07/2025,81185.53, west,active,-,,Jul,Basic,David,USA
CUST1187,ORD05187,02-13-2025,56326.78, north,inactive,follow up,37,Feb,Starter,David,USA
CUST1188,ORD05188,07/06/2025,8233.48,NORTH,active,N/A,39,Jun,Basic,Alice,USA
CUST1189,ORD05189,11-02-2025,47331.57,West,active,-,46,Nov,Starter,Eve,UK
CUST1190,ORD05190,13/03/2025,32671.86,West,churned,na,53,Mar,Basic,Alice,USA
CUST1191,ORD05190,17/11/2025,21336.86,south ,inactive,na,34,Nov,Pro,Eve,Canada
CUST1192,ORD05192,21/06/2025,28346.28,NORTH,active,follow up,63,Jun,Starter,David,USA
CUST1193,ORD05193,13/06/2025,34151.24,South,churned,,62,Jun,Basic,Carol,USA
CUST1194,ORD05194,2025-10-07,17383.1,South,churned,-,57,Oct,Enterprise,David,Canada
CUST1195,ORD05195,05-10-2025,26089.36, north,active,follow up,49,May,Basic,Eve,Canada
CUST1196,ORD05196,21/12/2025,78535.39, north,trial,follow up,45,Dec,Pro,Bob,UK
CUST1197,ORD05197,19/06/2025,"53378,",South,inactive,na,,Jun,Basic,Eve,UK
CUST1198,ORD05198,2025-09-05,84805.88,East,inactive,na,27,Sep,Starter,Eve,Canada
CUST1199,ORD05199,23/12/2025,8749.15,North,active,N/A,41,Dec,Enterprise,Bob,USA
CUST1200,ORD05200,06-19-2025,47136.42,NORTH,active,-,51,Jun,Basic,David,USA
CUST1201,ORD05201,08-19-2025,75121.73,South,active,follow up,22,Aug,Enterprise,Eve,USA
CUST1202,ORD05202,07/07/2025,45867.12,East,active,-,29,Jul,Basic,Eve,USA
CUST1203,ORD05203,2025-11-13,71946.25, north,churned,follow up,41,Nov,Enterprise,Bob,USA
CUST1204,ORD05204,03-14-2025,32044.36,West,active,-,60,Mar,Starter,Eve,USA
CUST1205,ORD05205,11/06/2025,12355.06, west,trial,follow up,44,Jun,Basic,Eve,UK
CUST1206,ORD05206,09/09/2025,35071.85,North,trial,N/A,50,Sep,Pro,Alice,USA
CUST1207,ORD05207,08-23-2025,24892.64, north,active,N/A,53,Aug,Pro,Eve,USA
CUST1208,ORD05208,22/04/2025,37795.48,South,active,follow up,,Apr,Basic,Carol,USA
CUST1209,ORD05209,2025-03-02,7850.06,West,trial,follow up,59,Mar,Starter,Bob,USA
CUST1210,ORD05210,11-02-2025,45477.73, north,trial,None,40,Nov,Basic,Alice,USA
CUST1211,ORD05211,2025-03-09,11222.05,West,active,follow up,42,Mar,Pro,David,Canada
CUST1212,ORD05212,17/02/2025,54041.55,East,inactive,follow up,39,Feb,Pro,Eve,USA
CUST1213,ORD05213,02-17-2025,72085.64,East,trial,follow up,62,Feb,Basic,Bob,Canada
CUST1214,ORD05214,15/06/2025,42303.41,East,trial,-,58,Jun,Enterprise,Alice,USA
CUST1215,ORD05215,2025-01-09,71201.33,West,active,N/A,32,Jan,Starter,Carol,USA
CUST1216,ORD05216,02-17-2025,74572.28,North,churned,na,27,Feb,Starter,David,USA
CUST1217,ORD05216,2025-09-02,591.79,North,churned,-,36,Sep,Enterprise,David,USA
CUST1218,ORD05218,02-15-2025,19846.01,NORTH,trial,None,28,Feb,Starter,Bob,USA
CUST1219,ORD05219,2025-11-29,1216.12,NORTH,active,follow up,35,Nov,Basic,Bob,USA
CUST1220,ORD05220,03-05-2025,12331.11,East,trial,follow up,44,Mar,Pro,Alice,USA
CUST1221,ORD05221,08/11/2025,51200.66,south ,active,follow up,23,Nov,Starter,David,USA
CUST1222,ORD05222,03/05/2025,66731.24, north,active,,37,May,Pro,Carol,USA
CUST1223,ORD05222,04/08/2025,71393.24, north,active,follow up,33,Aug,Enterprise,Carol,USA
CUST1224,ORD05224,07-23-2025,approx 50k,West,active,follow up,54,Jul,Starter,Carol,USA
CUST1225,ORD05225,2025-04-15,43705.25,south ,active,N/A,47,Apr,Starter,Alice,USA
CUST1226,ORD05226,08-21-2025,37213.86,NORTH,active,follow up,41,Aug,Starter,Alice,USA
CUST1227,ORD05227,09-22-2025,29796.58, north,active,None,45,Sep,Pro,David,USA
CUST1228,ORD05228,10-23-2025,22719.25,North,active,None,,Oct,Starter,Carol,USA
CUST1229,ORD05229,10-21-2025,9195.47,North,trial,follow up,36,Oct,Enterprise,Bob,USA
CUST1230,ORD05230,2025-03-18,32861.77,South,inactive,-,24,Mar,Pro,Carol,USA
CUST1231,ORD05231,2025-12-11,10589.38,West,inactive,follow up,55,Dec,Pro,Carol,USA
CUST1232,ORD05232,2025-07-08,39095.05,South,active,follow up,41,Jul,Basic,Bob,UK
CUST1233,ORD05232,04/01/2025,21213.22,East,active,N/A,,Jan,Basic,Carol,USA
CUST1234,ORD05234,03/08/2025,83573.28, north,trial,follow up,31,Aug,Basic,Carol,Canada
CUST1235,ORD05235,02-18-2025,7674.25,North,trial,,47,Feb,Starter,Carol,USA
CUST1236,ORD05236,07-21-2025,78750.54,South,trial,None,42,Jul,Starter,Eve,USA
CUST1237,ORD05237,27/08/2025,14389.69, west,churned,na,56,Aug,Enterprise,Alice,USA
CUST1238,ORD05238,12-27-2025,26206.17,East,active,follow up,35,Dec,Starter,Carol,Canada
CUST1239,ORD05239,2025-05-14,57722.0,South,active,-,,May,Starter,Alice,USA
CUST1240,ORD05240,2025-03-08,"30135,", north,churned,follow up,45,Mar,Enterprise,Alice,USA
CUST1241,ORD05241,2025-03-07,55085.89,North,active,-,43,Mar,Basic,David,Canada
CUST1242,ORD05242,30/03/2025,TBD,NORTH,active,-,33,Mar,Starter,Carol,Canada
CUST1243,ORD05243,2025-02-01,47033.19,South,trial,,30,Feb,Enterprise,David,USA
CUST1244,ORD05244,06-26-2025,66531.27,East,active,N/A,46,Jun,Pro,Alice,Canada
CUST1245,ORD05245,2025-04-30,65298.16,south ,trial,follow up,,Apr,Enterprise,Bob,UK
CUST1246,ORD05246,2025-07-01,67879.51,North,churned,None,59,Jul,Starter,Eve,USA
CUST1247,ORD05247,09-10-2025,68978.9,South,active,N/A,53,Sep,Basic,Alice,USA
CUST1248,ORD05248,08/03/2025,17523.74,NORTH,trial,na,42,Mar,Pro,Alice,USA
